mode,b,wa,l,k,t
DH,TRUE,true,1000,10,0.5
DH,TRUE,true,1000,10,0.525
DH,TRUE,true,1000,10,0.55
DH,TRUE,true,1000,10,0.575
DH,TRUE,true,1000,10,0.6
DH,TRUE,true,1000,10,0.625
DH,TRUE,true,1000,10,0.65
DH,TRUE,true,1000,10,0.675
DH,TRUE,true,1000,10,0.7
DH,TRUE,true,1000,10,0.725
DH,TRUE,true,1000,10,0.75
DH,TRUE,true,1000,10,0.775
DH,TRUE,true,1000,10,0.8
DH,TRUE,false,1000,10,0.5
DH,TRUE,false,1000,10,0.525
DH,TRUE,false,1000,10,0.55
DH,TRUE,false,1000,10,0.575
DH,TRUE,false,1000,10,0.6
DH,TRUE,false,1000,10,0.625
DH,TRUE,false,1000,10,0.65
DH,TRUE,false,1000,10,0.675
DH,TRUE,false,1000,10,0.7
DH,TRUE,false,1000,10,0.725
DH,TRUE,false,1000,10,0.75
DH,TRUE,false,1000,10,0.775
DH,TRUE,false,1000,10,0.8
ED,TRUE,true,1000,10,0.5
ED,TRUE,true,1000,10,0.525
ED,TRUE,true,1000,10,0.55
ED,TRUE,true,1000,10,0.575
ED,TRUE,true,1000,10,0.6
ED,TRUE,true,1000,10,0.625
ED,TRUE,true,1000,10,0.65
ED,TRUE,true,1000,10,0.675
ED,TRUE,true,1000,10,0.7
ED,TRUE,true,1000,10,0.725
ED,TRUE,true,1000,10,0.75
ED,TRUE,true,1000,10,0.775
ED,TRUE,true,1000,10,0.8
TH,TRUE,true,1000,10,0.5
TH,TRUE,true,1000,10,0.525
TH,TRUE,true,1000,10,0.55
TH,TRUE,true,1000,10,0.575
TH,TRUE,true,1000,10,0.6
TH,TRUE,true,1000,10,0.625
TH,TRUE,true,1000,10,0.65
TH,TRUE,true,1000,10,0.675
TH,TRUE,true,1000,10,0.7
TH,TRUE,true,1000,10,0.725
TH,TRUE,true,1000,10,0.75
TH,TRUE,true,1000,10,0.775
TH,TRUE,true,1000,10,0.8
RH,TRUE,true,1000,10,0.5
RH,TRUE,true,1000,10,0.525
RH,TRUE,true,1000,10,0.55
RH,TRUE,true,1000,10,0.575
RH,TRUE,true,1000,10,0.6
RH,TRUE,true,1000,10,0.625
RH,TRUE,true,1000,10,0.65
RH,TRUE,true,1000,10,0.675
RH,TRUE,true,1000,10,0.7
RH,TRUE,true,1000,10,0.725
RH,TRUE,true,1000,10,0.75
RH,TRUE,true,1000,10,0.775
RH,TRUE,true,1000,10,0.8